0,0.000000,0.041000,3178,K__
0,0.042000,0.041000,550,___
0,0.125000,0.041000,554,___
1,0.000000,0.032000,768,K__
1,0.032000,0.032000,768,K__
0,0.083000,0.041000,103,___
1,0.064000,0.032000,768,K__
0,0.167000,0.041000,415,___
1,0.096000,0.032000,768,K__
0,0.208000,0.041000,459,___
1,0.128000,0.032000,768,K__
1,0.160000,0.032000,768,K__
0,0.292000,0.041000,840,___
1,0.192000,0.032000,768,K__
0,0.250000,0.041000,95,___
1,0.224000,0.032000,768,K__
0,0.417000,0.041000,698,___
1,0.256000,0.032000,768,K__
1,0.288000,0.032000,768,K__
0,0.375000,0.041000,156,___
1,0.320000,0.032000,768,K__
0,0.333000,0.041000,137,___
1,0.352000,0.032000,768,K__
0,0.458000,0.041000,359,___
1,0.384000,0.032000,768,K__
1,0.416000,0.032000,768,K__
0,0.583000,0.041000,769,___
1,0.448000,0.032000,768,K__
0,0.542000,0.041000,241,___
1,0.480000,0.032000,768,K__
0,0.500000,0.041000,133,___
1,0.512000,0.032000,768,K__
0,0.708000,0.041000,680,___
1,0.544000,0.032000,768,K__
1,0.576000,0.032000,768,K__
0,0.667000,0.041000,244,___
1,0.608000,0.032000,768,K__
0,0.625000,0.041000,178,___
1,0.640000,0.032000,768,K__
0,0.833000,0.041000,740,___
1,0.672000,0.032000,768,K__
1,0.704000,0.032000,768,K__
0,0.792000,0.041000,261,___
1,0.736000,0.032000,768,K__
0,0.750000,0.041000,206,___
1,0.768000,0.032000,768,K__
0,0.917000,0.041000,530,___
1,0.800000,0.032000,768,K__
1,0.832000,0.032000,768,K__
0,0.875000,0.041000,182,___
1,0.864000,0.032000,768,K__
0,0.958000,0.041000,455,___
1,0.896000,0.032000,768,K__
0,1.083000,0.041000,798,___
1,0.928000,0.032000,768,K__
0,1.042000,0.041000,225,___
1,0.960000,0.032000,768,K__
1,0.992000,0.032000,768,K__
0,1.000000,0.041000,169,___
1,1.024000,0.032000,768,K__
0,1.167000,0.041000,648,___
1,1.056000,0.032000,768,K__
0,1.125000,0.041000,127,___
1,1.088000,0.032000,768,K__
1,1.120000,0.032000,768,K__
0,1.292000,0.041000,674,___
1,1.152000,0.032000,768,K__
0,1.250000,0.041000,154,___
1,1.184000,0.032000,768,K__
0,1.208000,0.041000,137,___
1,1.216000,0.032000,768,K__
1,1.248000,0.032000,768,K__
0,1.375000,0.041000,465,___
1,1.280000,0.032000,768,K__
0,1.333000,0.041000,108,___
1,1.312000,0.032000,768,K__
0,1.500000,0.041000,612,___
1,1.344000,0.032000,768,K__
0,1.458000,0.041000,226,___
1,1.376000,0.032000,768,K__
1,1.408000,0.032000,768,K__
0,1.417000,0.041000,155,___
1,1.440000,0.032000,768,K__
0,1.583000,0.041000,654,___
1,1.472000,0.032000,768,K__
0,1.542000,0.041000,176,___
1,1.504000,0.032000,768,K__
1,1.536000,0.032000,768,K__
0,1.667000,0.041000,588,___
1,1.568000,0.032000,768,K__
0,1.625000,0.041000,210,___
1,1.600000,0.032000,768,K__
0,1.792000,0.041000,729,___
1,1.632000,0.032000,768,K__
1,1.664000,0.032000,768,K__
0,1.750000,0.041000,259,___
1,1.696000,0.032000,768,K__
0,1.708000,0.041000,233,___
1,1.728000,0.032000,768,K__
0,1.875000,0.041000,561,___
1,1.760000,0.032000,768,K__
0,1.833000,0.041000,231,___
1,1.792000,0.032000,768,K__
1,1.824000,0.032000,768,K__
0,2.000000,0.041000,4278,K__
1,1.856000,0.032000,768,K__
0,1.958000,0.041000,210,___
1,1.888000,0.032000,768,K__
0,1.917000,0.041000,181,___
1,1.920000,0.032000,768,K__
1,1.952000,0.032000,768,K__
0,2.083000,0.041000,594,___
1,1.984000,0.032000,768,K__
0,2.042000,0.041000,191,___
1,2.016000,0.032000,768,K__
0,2.167000,0.041000,713,___
1,2.048000,0.032000,768,K__
1,2.080000,0.032000,768,K__
0,2.125000,0.041000,134,___
1,2.112000,0.032000,768,K__
0,2.292000,0.041000,893,___
1,2.144000,0.032000,768,K__
0,2.250000,0.041000,209,___
1,2.176000,0.032000,768,K__
0,2.208000,0.041000,185,___
1,2.208000,0.032000,768,K__
1,2.240000,0.032000,768,K__
0,2.417000,0.041000,666,___
1,2.272000,0.032000,768,K__
0,2.375000,0.041000,156,___
1,2.304000,0.032000,768,K__
0,2.333000,0.041000,176,___
1,2.336000,0.032000,768,K__
1,2.368000,0.032000,768,K__
0,2.542000,0.041000,621,___
1,2.400000,0.032000,768,K__
0,2.500000,0.041000,212,___
1,2.432000,0.032000,768,K__
0,2.458000,0.041000,116,___
1,2.464000,0.032000,768,K__
1,2.496000,0.032000,768,K__
0,2.667000,0.041000,576,___
1,2.528000,0.032000,768,K__
0,2.625000,0.041000,181,___
1,2.560000,0.032000,768,K__
0,2.583000,0.041000,117,___
1,2.592000,0.032000,768,K__
1,2.624000,0.032000,768,K__
0,2.750000,0.041000,544,___
1,2.656000,0.032000,768,K__
0,2.708000,0.041000,136,___
1,2.688000,0.032000,768,K__
0,2.833000,0.041000,705,___
1,2.720000,0.032000,768,K__
0,2.792000,0.041000,136,___
1,2.752000,0.032000,768,K__
1,2.784000,0.032000,768,K__
0,2.917000,0.041000,623,___
1,2.816000,0.032000,768,K__
0,2.875000,0.041000,119,___
1,2.848000,0.032000,768,K__
0,3.042000,0.041000,760,___
1,2.880000,0.032000,768,K__
1,2.912000,0.032000,768,K__
0,3.000000,0.041000,163,___
1,2.944000,0.032000,768,K__
0,2.958000,0.041000,219,___
1,2.976000,0.032000,768,K__
0,3.167000,0.041000,775,___
1,3.008000,0.032000,768,K__
1,3.040000,0.032000,768,K__
0,3.125000,0.041000,215,___
1,3.072000,0.032000,768,K__
0,3.083000,0.041000,141,___
1,3.104000,0.032000,768,K__
0,3.292000,0.041000,798,___
1,3.136000,0.032000,768,K__
0,3.250000,0.041000,258,___
1,3.168000,0.032000,768,K__
1,3.200000,0.032000,768,K__
0,3.208000,0.041000,139,___
1,3.232000,0.032000,768,K__
0,3.417000,0.041000,891,___
1,3.264000,0.032000,768,K__
0,3.375000,0.041000,189,___
1,3.296000,0.032000,768,K__
1,3.328000,0.032000,768,K__
0,3.333000,0.041000,213,___
1,3.360000,0.032000,768,K__
0,3.542000,0.041000,982,___
1,3.392000,0.032000,768,K__
0,3.500000,0.041000,226,___
1,3.424000,0.032000,768,K__
1,3.456000,0.032000,768,K__
0,3.458000,0.041000,176,___
1,3.488000,0.032000,768,K__
0,3.667000,0.041000,949,___
1,3.520000,0.032000,768,K__
0,3.625000,0.041000,301,___
1,3.552000,0.032000,768,K__
0,3.583000,0.041000,246,___
1,3.584000,0.032000,768,K__
1,3.616000,0.032000,768,K__
0,3.792000,0.041000,1060,___
1,3.648000,0.032000,768,K__
0,3.750000,0.041000,225,___
1,3.680000,0.032000,768,K__
0,3.708000,0.041000,297,___
1,3.712000,0.032000,768,K__
1,3.744000,0.032000,768,K__
0,3.833000,0.041000,524,___
1,3.776000,0.032000,768,K__
0,3.875000,0.041000,587,___
1,3.808000,0.032000,768,K__
0,4.000000,0.041000,4303,K__
1,3.840000,0.032000,768,K__
1,3.872000,0.032000,768,K__
0,3.958000,0.041000,196,___
1,3.904000,0.032000,768,K__
0,3.917000,0.041000,149,___
1,3.936000,0.032000,768,K__
0,4.042000,0.041000,532,___
1,3.968000,0.032000,768,K__
0,4.125000,0.041000,496,___
1,4.000000,0.032000,768,K__
1,4.032000,0.032000,768,K__
0,4.083000,0.041000,125,___
1,4.064000,0.032000,768,K__
0,4.167000,0.041000,456,___
1,4.096000,0.032000,768,K__
0,4.208000,0.041000,533,___
1,4.128000,0.032000,768,K__
